id_fatt_studio,n_fat,data_fat,nota_acr,cliente,t_iva,t_pagamento,note,id_banca,n_conf
119,161,"05/11/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 08/06/2016",,
402,27,"01/17/18 00:00:00",0,149,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 16/02/2018",2,
403,28,"01/22/18 00:00:00",0,450,3,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 22/02/2018

CMR NR: NL1198098",2,
404,29,"01/29/18 00:00:00",0,513,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 28/02/2018",2,
135,205,"06/10/16 00:00:00",0,1,4,2,"Numero ordine: 772/2 del 03/06/2016

Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 08/07/2016",,
137,207,"06/13/16 00:00:00",0,482,4,1,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza: 13/07/2016",,
27,136,"05/18/15 00:00:00",0,39,3,1,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA 18/06/2015 VALUTA FISSA",,
405,30,"01/29/18 00:00:00",0,557,3,13,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 28/02/2018",2,
406,31,"01/31/18 00:00:00",0,557,3,13,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 28/02/2018",2,
267,171,"05/09/17 00:00:00",0,80,4,1,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA FATTURA: 09/06/2017",2,
276,181,"05/18/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

ORDINE NR 635/2 del 12/05/2017

SCADENZA RIBA: 19/06/2017",2,
149,221,"06/29/16 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 27/07/2016",,
277,182,"05/18/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

ORDINE NR 636/2 del 12/05/2017

SCADENZA RIBA: 19/06/2017",2,
153,256,"07/12/16 00:00:00",0,482,4,1,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza: 12/08/2016",,
154,257,"07/12/16 00:00:00",0,1,4,2,"Vs ordine: 1016/2 del 09/07/0216

Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 09/08/2016",,
257,142,"04/19/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

In riferimento all'orine nr: 525/2 del 14/04/2017

SCADENZA RIBA:17/05/2017",2,
287,192,"06/01/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 30/06/2017",2,
162,267,"07/26/16 00:00:00",0,1,4,2,"Vs ordine: 1092/2 del 21/07/0216

Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 23/08/2016",2,
163,268,"07/28/16 00:00:00",0,1,4,2,"Vs ordine: 1092/2 del 21/07/0216

Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 26/08/2016",2,
37,161,"07/01/15 00:00:00",0,80,4,1,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

rif.ddt nr. 230790 del 25/06/2015

BONIFICO BANCARIO, VALUTA FISSA: 31/07/2015",,
47,217,"08/19/15 00:00:00",0,93,4,15,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

pagamento: 20.000 € entro il 24/08/15 e il saldo a ricevimento merce.",,
95,90,"03/09/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 08/04/2016",,
97,92,"03/15/16 00:00:00",0,439,4,14,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
98,93,"03/15/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 15/04/2016",,
99,94,"03/16/16 00:00:00",0,36,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 15/04/2016",,
100,95,"03/22/16 00:00:00",0,343,4,1,"Scadenza Ri.Ba: 22/04/2016",,
102,97,"03/29/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 29/04/2016",,
103,98,"04/01/16 00:00:00",0,37,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 30/04/2016",,
104,99,"04/06/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 06/05/2016",,
233,48,"02/06/17 00:00:00",0,524,,15,"Non Imponibile art. 41 d.l. 331/93
Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",2,
235,75,"02/09/17 00:00:00",0,71,4,1,"BOLLO CEE: SE-1035-EC
LOTTO NR: 761612770

Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",2,
236,76,"02/10/17 00:00:00",0,524,,15,"Non Imponibile art. 41 d.l. 331/93
Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",2,
241,81,"02/20/17 00:00:00",0,524,,15,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",2,
243,83,"02/27/17 00:00:00",0,513,4,2,"Scandeza RI.BA: 27/03/2017

Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",2,
246,86,"03/02/17 00:00:00",0,263,3,3,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",2,
247,87,"03/03/17 00:00:00",0,526,,3,"non imponibile art.41 d.l. 331/93",2,
248,110,"03/10/17 00:00:00",0,93,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 12/04/2017",2,
23,87,"04/08/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

scadenza RIBA 08/05/2015",,
24,109,"04/15/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

scadenza RIBA 15/05/2015",,
25,111,"04/23/15 00:00:00",0,80,4,1,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

rif.ddt nr 200227370 del 23/04/2015

PAGAMENTO CON BONIFICO BANCARIO, VALUTA FISSA  22/05/2015",,
26,114,"05/08/15 00:00:00",0,450,3,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA:  08/06/2015",,
28,137,"05/19/15 00:00:00",0,71,4,1,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA 19/06/2015 VALUTA FISSA",,
29,138,"05/19/15 00:00:00",0,149,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA 19/06/2015",,
30,139,"05/27/15 00:00:00",0,62,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA 26/06/2015",,
31,140,"06/03/15 00:00:00",0,80,4,1,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

rif.ddt nr 228361 del 20/05/2015

SCADENZA BONIFICO BANCARIO 30 GIORNI VALUTA FISSA 03/07/2015",,
101,96,"03/22/16 00:00:00",0,149,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 22/04/2016",,
105,122,"04/08/16 00:00:00",0,487,4,3,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
106,124,"04/12/16 00:00:00",0,439,4,14,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza: 31/05/2016",,
108,126,"04/15/16 00:00:00",0,118,4,15,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
109,127,"04/18/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 18/05/2016",,
110,128,"04/19/16 00:00:00",0,149,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza: 19/05/2016",,
111,129,"04/26/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 26/05/2016",,
112,130,"05/03/16 00:00:00",0,354,4,2,"Numero ordine: 4500070804 del 21/04/2016

Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 31/05/2016",,
296,224,"06/16/17 00:00:00",0,51,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 17/07/2017",2,
306,235,"07/10/17 00:00:00",0,80,4,1,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08


SCADENZA: 10/08/2017",2,
407,48,"02/06/18 00:00:00",0,513,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 05/03/2018",2,
399,5,"01/11/18 00:00:00",0,93,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA 09/02/2018",2,
400,8,"01/16/18 00:00:00",0,71,4,1,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA FATTURA: 15/02/2018

nr lotto: M171130003; 60173473
bollo Cee: SE-1035-EC; BE M169 CE",2,
408,49,"02/08/18 00:00:00",0,557,3,13,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 30/03/2018",2,
409,50,"02/09/18 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 09/03/2018",2,
410,51,"02/14/18 00:00:00",0,557,3,13,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 30/03/2018",2,
411,52,"02/21/18 00:00:00",0,97,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 19/03/2018",2,
270,175,"05/10/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08
ordine nr: 619/2 del 08/05/2017

SCADENZA RIBA: 09/06/2017",2,
271,176,"05/12/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08
ordine nr: 619/2 del 08/05/2017

SCADENZA RIBA: 12/06/2017",2,
278,183,"05/23/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

ORDINE NR 666/2 del 19/05/2017

SCADENZA RIBA: 22/06/2017",2,
283,188,"05/29/17 00:00:00",0,512,3,3,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",2,
284,189,"05/29/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

ORDINE NR 666/2 del 19/05/2017

SCADENZA RIBA: 26/06/2017",2,
286,191,"06/01/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08
ordine nr 703/2 del 26/05

SCADENZA RIBA: 30/06/2017",2,
289,194,"06/07/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08
ordine nr: 745/2 del 05/06/2017

SCADENZA RIBA: 06/07/2017",2,
290,195,"06/09/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08
ordine nr 746/2 del 05/06/2017

SCADENZA RIBA: 07/07/2017",2,
413,54,"02/21/18 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 21/03/2018",2,
339,321,"09/05/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 04/10/2017",2,
418,75,"03/08/18 00:00:00",0,534,,15,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Non Imponibile - Art.41 D.L. 331/93",2,
107,125,"04/12/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 12/05/2016",,
113,131,"05/03/16 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 03/06/2016",,
114,132,"05/04/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 03/06/2016",,
115,157,"05/09/16 00:00:00",0,439,4,14,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza: 30/06/2016",,
116,158,"05/11/16 00:00:00",0,37,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 10/06/2016",,
120,162,"05/12/16 00:00:00",0,93,4,3,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
121,165,"05/17/16 00:00:00",0,11,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 17/06/2016",,
125,170,"05/24/16 00:00:00",0,343,4,2,"Scadenza Ri.Ba: 24/06/2016",,
419,76,"03/09/18 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

scadenza riba: 09/04/2018",2,
350,347,"09/21/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA riba: 20/10/2017",2,
423,80,"03/21/18 00:00:00",0,557,3,13,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

rid al ddt nr: 567/CC  del 20/03/2018

SCADENZA RIBA: 30/04/2018",2,
425,83,"03/28/18 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 26/04/2018",2,
