id_compratore,azienda,indirizzo,cap,citta,stato,fax,telefono,piva,italiano,tipo_pagamento,iva
44,"HANSA MILCH AG","Meiereiweg 1","23936","UPHAL",,,,"DE232094894",0,,
46,"FRANCIA MOZZARELLA GMBH","Volkmarstr. 9-11","D-12099","Berlino",,"+49  30 70178572","+49  30 7017366","DE811847047",0,,
48,"G. CITTERIO SPA","Via Damenti 16B","43035","Poggio di S. Ilario-Felino (PR)",,,"0521 830215","05931440159",1,,
50,"VALGRANA SPA","Via Moretta, 7","12030","Scarnafigi (CN)",,"39 0175272099","39 0175272000","02103050049",1,,
51,"LAMERI SPA","Via D.F. Cattaneo, 28/30","26020","San Bassano (CR)",,"0372454248","0372454249","00054080197",1,,
52,"NOVISSIME SRL","Via Cavecchia, 75","47020","Cesena (FC)",,"054759360","054758166","02034070397",1,,
54,"STEN SPA","Viale Rimembranze 21/7","20020","Lainate(MI)",,"0293571568","0293571568","IT09067020157",1,,
55,"I GRANI DI PAM SRL","c/ da sbrandello","87040","Mongrassano Scalo",,"0984524649","0984524840","02577360783",1,,
56,"LEBLOND SOCOBEUR","6 Rue de Paris B;P 40006","95380","Louvres",,"01 34 72 31 30","01 34 68 72 23","FR20722045143",0,,
60,"ICAM SPA","Via Pescatori, 53","23900","Lecco",,,,"00205080138",1,,
61,"ARS FOOD SRL","Via Bernardino Telesio, 12","20145","Milano",,,,"05160010482",1,,
62,"PADANIA ALIMENTI SRL","Via Fermi 79 S/S Castelnuovese","26041","CASALMAGGIORE (CR)",,,,"IT 00838140192",1,,
64,"FATTORIE SAN LORENZO SRL","Viale San Lorenzo 40","46020","Pegognaga",,,,"01964450207",1,,
65,"PROLAT SRL","Via Puccini № 6/8","80029","80029 - Sant'Antimo (NA)",,,,"01339761213",1,,
66,"GOLFERA IN LAVEZZOLA SPA","Via dell'Industria 6/8","48017","Lavezzola  (RA)",,,,"00699130399",1,,
67,"BIRAGHI SPA","Via Cuneo 1","12030","Cavallermaggiore",,,,"00486510043",1,,
68,"STERILGARDA ALIMENTI SPA","Via Medole, 52","46043","CASTIGLIONE DELLE STIVIERE (MN)",,,,"01515590204",1,,
69,"MOBE SPA","Rotonda dei Millle, 1","24122","Bergamo",,,,,1,,
71,"RIGONI DI ASIAGO SRL","Via Oberdan 28","36012","ASIAGO",,,,"03722320243",1,,
72,"DAL COLLE SPA","Via Stra', 13","37030","COLOGNOLA AI COLLI",,,,"01291520235",1,,
73,"BELLENTANI SPA","VIA DELL'AGRICOLTURA","41058","VIGNOLA",,,,"IT 01464330362",1,,
75,"MORGAN S.P.A.","Via E.Mattei, 1","56020","MONOPOLI VAL D'ARNO (PI)",,,,"05526840961",1,,
76,"CAMPO DEI FIORI SRL","via Cesare Battisti,80","21020","DAVERIO (VA)",,,,"02929410120",1,,
77,"BRAZZALE SPA","via PASUBIO, 2","36010","ZANE' (vi)",,,,"00160480240",1,,
78,"GRA-COM SRL","VIA EMILIA EST 90/A","41013","CASTELFRANCO EMILIA (MO)",,,,"IT01313570366",1,,
79,"FIASCONARO SRL","p.zza Margherita, 10","90013","CASTELBUONO (PA)",,,,"IT03648920829",1,,
80,"SALUMIFICIO PEDRAZZOLI SPA","Via San Giovanni, 16","46020","SAN GIOVANNI DEL DOSSO (MN)",,,,"01592090201",1,,
81,"IDEALCOTTI DEI FRATELLI LUPPI SRL","Via Sala Baganza Loc. Filagni, 6","43044","COLLECCHIO (PR)",,,,"01601380353",1,,
82,"GUSTI ITALIANI SRL A SOCIO UNICO","VIA IV NOVEMBRE , 115","28060","VICOLUNGO (NO)",,,,"07629810966",1,,
84,"OLFOOD SRL","via E.Fermi, 11","25022","Borgo San Giacomo (BS)",,,,"02946260987",1,,
85,"GALLONI THOMAS E ANDREAS OHG","MAX VALIER,42","39012","MERANO",,,,"IT01417360219",1,,
86,"ZARPELLON SPA","via S.G.B. De La Salle","36060","ROMANO D'EZZELINO (VI)",,,,"IT 00193200268",1,,
87,"METZGEREI JOSEF HUBER","PASS THURN STRASSE , 3B","6372","OBERNDORF-AUSTRIA",,,,"ATU31930006",0,,
88,"BRIANZA SALUMI DI VISMARA LUIGI & C SRL","VIA DON MINZONI 21","23844","SIRONE (LECCO)",,,,"00721890135",1,,
89,"MILK & CO SRL IMPORT EXPORT","VIA GALILEO GALILEI, 43","80029","S.ANTIMO (NA)",,,,"IT06977251211",1,,
98,,,,,,,,,0,,
99,"GRUPPO CASEARIO MERIDIONALE S.R.L.","VIA E. DE FILIPPO, 12","80048","NAPOLI",,,"0815306844",,1,,
700,"Maino SRL","Sant'Edigio del Monte Albino (SA) via Francesco","84010","84010 Ferrajoli",,,,"06201400659",1,,
313,"Caseificio Val D’Apsa & C. snc","Via Ca’ Bergamo, 1","61029","Urbino",,,,"00356880419",1,,
314,"Caseificio Val d’Aveto","Via Rezzoaglio Inferiore, 35","16048","Rezzoaglio (GE)",,,,,1,,
316,"Latini Adriano & C. S.n.c.","Via Brescia 51/A","24064","Grumello del Monte (BG)",,,,"00922390166",1,,
317,"Caseificio Ruggero Villa","Via dei Dossi, 39",,"Fara gera d'Adda",,,,,1,,
318,"CASEIFICIO DEL CIGNO S.P.A.","Via Merlo, 1","20122","Milano (MI)",,,,"04552490155",1,,
321,"Formaggi Boccea S.r.l.","Via Locana, 97","00166","Roma",,,,"01829791001",1,,
322,"CASEIFICIO DI SORANO","Localita' La Fratta","54","Sorano",,,,"01269450530",1,,
325,"EUROLINKS","Via Edoardo Martini",,"Roma",,,,,1,,
326,"Casearia Altopiano di Asiago SpA","Via F. Baracca N° 14","36012","ASIAGO (VI)",,,,"03342480245",1,,
327,"Montrone S.p.A.","Via Corato 391/411","76123","Andria (BT)",,,,"03726100724",1,,
328,"CASEIFICIO MENEGAZZI","Contrada Bernardi, 12","37020","ERBEZZO (VR)",,,,,1,,
329,"MIKA SRL","Via Barletta, 235/237","76123","ANDRIA (BT)",,,,,1,,
331,"Caseificio Germani srl","Via delle Vigne N. 2","22020","Faloppio (Como)",,,,,1,,
332,"DANONE SPA","VIA ALSERIO 10","20159","MILANO",,,,,1,,
333,"Ariete Fattoria Latte Sano S.p.A.","Via della Muratella, 165","00148","Ponte Galeria",,,,,1,,
334,"LAITA","4, Rue Henri BECQUEREL ZI de Kergaradec","29806","BREST cedex 09",,,,,0,,
335,"Caseificio Nuti Nedo","V. Aurelia Sud, 10","57023","Cecina (LI)",,,,,1,,
336,"AZIENDA AGRICOLA BERTINELLI","Via Costa Garibalda 25","43014","Medesano (PR)",,,,"02139550343",1,,
337,"Società Cooperativa Agrocasearia","Via Rho, 90","20020","Lainate (MI)",,,,"IT 01872170129",1,,
338,"Ruggero Paolo Gagliardi",,,,,,,,1,,
339,"COOPERATIVA AGRICOLA LA GIUNCHIGLIA","Piazza Indipendenza, 3","43124","PARMA",,,,,1,,
341,"La Genzianella Latteria Cooperativa","Largo Calvi, 9",,"Padola di Comelico",,,,,1,,
345,"Alvo Innocenti",,,,,,,,1,,
346,"Puratos Italia S.p.a.","Via Lumière Fratelli, 37/A","43122","Parma (PR)",,,,"00346560493",1,,
347,"Guido Boaglio",,,,,,,,1,,
348,"Gianpaolo Rizzi",,,,,,,,1,,
349,"Caseificio Tonon","Via Alessandrini, 77","31059","Zero Branco (TV)",,,,,1,,
350,"LEVICKÉ MLIEKÁRNE a.s","Júrska cesta č. 2","934 01","Levice",,,,,0,,
351,"AGRICOOP FAGGIOLA - s.a.c.","LOCALITA' QUADALTO 57/b","50035","PALAZZUOLO SUL SENIO (FI)",,,,"00428630487",1,,
352,"LATTERIA SORESINA SCA","Via Dei Mille, 13/17"," 26015","Soresina (CR)",,,,"00108110198",1,,
353,"Milchwerke Schwaben eG","Zinglerstr.38","89077","Ulm / Donau",,,,,0,,
319,"Fattorie Osella S.p.A","Vicolo Sant Abbondio, 6","12030","Caramagna piemonte",,,,"01790040040",1,,
355,"Cooperativa ""I Tesori della Terra""","via Cian 16",,"Cervasca (CN)",,,,"02814420044",1,,
356,"AZIENDA AGRICOLA PALA","VIA CA RIO 7/A","61030","TAVOLETO",,,,,1,,
357,"ERNST & CO.","HINTERBERGSTRASSE, 26","6330","CHAM, SVIZZERA",,,,"CHE 102357488",0,,
358,"LATTERIE VENETE spa"," V. Bassanese 2","31050","Vedelago (TV)",,,,,1,,
361,"NUOVA CASTELLI SPA","VIA T.GALIMBERTI, 4","42100","REGGIO EMILIA",,,,"IT01357320355",1,,
362,"ITALATTE SPA","VIA FLAVIO GIOIA, 8","20149","MILANO, ITALY",,,,"12414020151",1,,
363,"Alimentare Italiana S.r.l.","Via Terza Armata n.187",,"Gorizia (GO)",,,,"01144780317",1,,
364,"FUMAGALLI INDUSTRIA ALIMENTARI SPA","V.BRIANTEA, 18","22038","TAVERNERIO (CO)",,,,"00223750134",1,,
365,"SCHREIBER FOODS EUROPE GMBH","Im Unteren Feld 18","D-88239","Wangen",,"+49 7522 9166-10","+49 7522 9166-46",,0,,
366,"ALIMENTARIA MOLISANA SRL Z.I.","Via A. Vespucci","86020","CAMPOCHIARO (CB)",,"0874775030","0874775094","01475730709",1,,
368,"FRIESLAND CAMPINA ITALY","V.PARACELSO, 18","20864","AGRATE BRIANZA (MB)",,,,"07338171007",1,,
371,"Numidia BV","Boven de Wolfskuil 3-D28","6049","LX Roermond",,"+31 475744099","+31 475711367",,0,,
376,"VAL FORM di BERNARDI PAOLO & C.","Via S. Sebastiano, 6","12030","Martiniana Po ( Cuneo )",,,,"02293780041",1,,
377," Fattorie Gennargentu S.r.l"," Via pacifico 79","08023"," Fonni (NU)",,"+39 0784 589463","+39 0784 58017"," 00914590914",1,,
381,"CASEIFICIO AGRILAT","Via S. Nicola Varco - Strada Statale 18","84025","Eboli (SA)",,,,,1,,
384,"Venchi S.p.A.","Via Venchi, 1","12040","Castelletto Stura (Cuneo)",,,,"IT05744670968",1,,
385,"Pasticceria Quadrifoglio","Via dell'Industria, 43","41013","Piumazzo di Castelfranco Emilia (MO)",,,,"00825960362",1,,
386,"Giuntoli Edo","Via N. Garbuio","54038","Montignoso (MS)",,,,"00131380453",1,,
387,"Le Conserve della Nonna","Via Confine n.1583","41017","Ravarino (MO)",,,,"02993980362",1,,
388,"Novarese Zuccheri","Via Circonvallazione 1","28060","Casalbeltrame (NO)",,,,"00581 770039",1,,
389,"NUOVA UNIBREAD s.r.l.","Via Terracini 6","42021","Barco di Bibbiano RE",,,,"01577930355",1,,
391,"Antaar&s SPA","Via Aldo Moro, 3","27051","Cava Manara (PV)",,,,,1,,
344,"Frascheri S.p.A.","Via Cesare Battisti, 29","17057","BARDINETO",,,,"00771300092",1,,
392,"ERU Hungária Sajtgyártó Kft."," Nagytétényi út 13,17.","H-1222","Budapest,",,,"+36 (1) 2266733104",,0,,
393,"Arthemia Srl","Via Galilei, 14","20090","Segrate (Mi)",,,,"06989070963",1,,
395,"I.N.C.A.P. S.R.L.","V.le della Navigazione Interna, 21","35129","PADOVA",,,,"03474210287",1,,
396,"CADÍ S.C.C.Ltda","Sant Ermengol, 37","25700","La Seu d'Urgell (Lleida)",,,,,0,,
397,"Hochland SE","Kemptener Straße 17","88178","Heimenkirch",,,,,0,,
400,"SOSTER SRL","Via della Roverella, 1","36050","Monteviale (VI)",,"+39 0444 950088","+39 0444 950052","IT02882900240",1,,
405,"FORGRANA CORRADINI SPA","VIA 200 BIOLCHE ,6 FRAZ. S.ROCCO","42016","GUASTALLA (RE)",,,"0522 833818","00141480350",1,,
406,"FOOD AGENCY","2 Str VEAKI  .TK","42100","TRIKALA -GREECE",,"+302431026706","+302431026706",,0,,
407,"Zappalà S.p.a.","Via Ardichetto","95019","Zafferana Etnea (CT)",,"+39 095 7085340","+39 095 7085111","04749990877",1,,
412,"Società Cooperativa Val d'Orcia Società Agricola","Strada dell'Orcia","53040","Contignano-Radicofani (SI)",,,,"00054490529",1,,
413,"Caseificio De Juliis Enio & Figli srl","Via G.G.Mendel n° 151","00134","Roma",,"+39 1782207362","+39 06 7139146",,1,,
416,"COLLA SPA","VIA SANT'ANNA, 10","29010","CADEO (PC)",,"+39 0523 501450","+39 0523 501411","00348560335",1,,
417,"FATTORIE MARCHIGIANE CONS.COOP.SOCIETA' AGRICOLA","VIA CERBARA,81","61030","Montemaggiore al Metauro(PU)",,,,"00433920410",1,,
418,"PLAC","Via Ostiano, 70","26043","Persico Dosimo (CR)",,"+39 0372 455660","+39 0372 455646","00114170194",1,,
420,"LATTERIA MONTELLO S.p.A.","Via Fante d’Italia, 26","31040","Giavera del Montello (TV)",,"+39 0422 775090","+39 0422 8833","IT 00283970267",1,,
421,"PERLA SNC"," Via Martiri delle Foibe, 11","12038"," Savigliano (CN) ·",,"+39 0172 713884","+39 0172 21724","02476330044",1,,
423,"ALIMENTA SRL","Via Galassi 2","09131","Cagliari (CA)",,"+39 070 505157","+39 070 505355","02225700927",1,,
83,"PAVONCELLI E. & FIGLI SPA","VIA VALPOLICELLA, 51","37026","PESCANTINA (VR)",,,,"00209600238",1,,
102,"LATTERIA MONTANARI DI ANDREA MARIZZA","VIA AQUILEIA, 2","34070","VILLESSE (GO)",,"048191049","048191024","00414150318",1,,
103,"AGRI PIACENZA LATTE","VIA COLOMBO, 35","29100","PIACENZA",,"0523607375","0523610171","01382310330",1,,
104,"CASEIFICIO ALBIERO SRL","VIA PONTE COCCO, 10","36050","MONTORSO VIC.NO (VI)",,"0444484015","0444685451","01622550240",1,,
106,"CASEARIA BRESCIANA CA.BRE","LOC. CABRE, 10","25028","CADIGNANO DI VEROLANUOVA (BS)",,,"03093651","00570010983",1,,
109,"CASEIFICIO PREZIOSA SRL","VIA CASSINONE, 32","24068","SERIATE (BG)",,"035303897","035303884","01751430164",1,,
112,"TRENTINALATTE SPA","VIA DELL'ADIGE VECCHIO, 15","38030","ROVERE DELLA LUNA (TN)",,,"0461 658211","00939670220",1,,
114,"MASMAL DAIRY SP Z.O.O.","8 MAGAZYNOWA ST.","86300","GRUDZIADZ",,"+48564501650","+48564501622","8762444308",0,,
115,"EMILIO MAURI SPA","VIA PROVINCIALE, 11","23818","PASTURO (LC)",,"0341955701","0341955700","00229170139",1,,
116,"ARRIGONI BATTISTA SPA","Via Treviglio, 940","24040","PAGAZZANO (BG)",,,,"IT00221680168",1,,
123,"CONSORZIO EXPORT 3-P.IT","STRADA VIOLA CAMATTE, 6","46020","PEGOGNANA (MN)",,"0376558770","0376559539","01936420205",1,,
125,"TENUTA LA PROVANINA SS","C.SO TORINO, 31","10086","ARGENTERA (TO)",,"0124308019","0124308019",,1,,
127,"LATTERIE FRIULANE","VIA P. ZORUTTI, 98","33030","CAMPOFORMIDO (UD)",,,,"00164830309",1,,
131,,,,,,,,,1,,
132,"GILBER SRL","VIA CAVAGNOLO, 18","10156","TORINO",,,"0112621387","06540990014",1,,
133,"ARAB DAIRY","15 ABD EL-HAMID BADAWI STREET, HELIOPOLIS","1519","ELIOPOLI (EGITTO)",,"2026241884","2026241883",,0,,
157,"DOLCIARIA A.LOISON SRL","SS PASUBIO, 6","36030","COSTABISSARA (VI)",,"0444557869","0444557869","02259320246",1,,
159,"MO.CA SPA","VIA MODENA, 22","47853","CORIANO (RN)",,"0541657900","0541657874","IT00387080401",1,,
160,"NUOVA INDUSTRIA BISCOTTI CRICH SPA","VIA ALCIDE DE GASPERI, 11","31050","ZENSON DI PIAVE (TV)",,,"0421344203","03371280268",1,,
163,"PRODOTTI STELLA SPA","VIA 4 NOVEMBRE, 12","36077","ALTAVILLA V.NA VI",,"0444370828","0444333600","02619740240",1,,
164,"RISO SCOTTI SPA","VIA ANGELO SCOTTI, 2","27100","PAVIA",,"0382577265","03825081","05078040150",1,,
165,"SAMMONTANA SPA","VIA TOSCO ROMAGNOLA, 56","50053","EMPOLI (FI)",,,,"03957900487",1,,
166,"SEMIGEL SPA","VIA DELL'ARTIGIANATO, 28/30","36043","CAMISANO VICENTINO",,"0444611770","0444610443","00263180242",1,,
167,"UNIGEL SPA","VIA TORINO, 24","24040","CISERANO (BG)",,"035883020","035883154","00231800160",1,,
168,"VENDIN","CALLE COTO DE DONANA, 15","28320","PINTO (MADRID)",,"+34916919145","+34916919104",,0,,
169,"UNILEVER ITALY HOLDINGS SRL","VIA UGO BASSI, 2","20159","MILANO",,,,"04542210960",1,,
171,"QUALITY FOOD GROUP SPA- Società Benefit","VIA SPILIMEBERGO, 221","33035","MARTIGNACCO (UD)",,"0432677152","0432638811","IT02425460306",1,,
172,"NESTLE' ITALIANA","V.LE GIULIO RICHARD, 5","20143","MILANO",,,"0281811","00777280157",1,,
174,,"VIA DELLA LIBERAZIONE, 1","20098","SAN GIULIANO MILANESE (MI)",,"0298281027","02982941","06488870152",1,,
175,"ELLEDI SPA","VIA ROMA, 24","35015","GALLIERA VENETA (PD)",,"0499470126","0499475511",,1,,
177,"GISAL DELIZIE",,,,,,,,0,,
178,"POLABSKE MLEKARNY A.S.","DR. KRYSPINA, 510","29016","PODEBRADY",,"325600753","325600750",,0,,
179,"SABELLI SPA","ZONA IND.LE BASSO MARINO","63100","ASCOLI PICENO",,"0736227077","073630671","01343410443",1,,
181,"LA BOULANGERE","10, Rue Olivier de Serres","85503","Les Herbieres Cedex",,,,,0,,
183,"BETARA SL","PL. ESGLESIA, 8","08589","PARAFITA",,"+34938530054","+34 938530055",,0,,
184,"CASEIFICIO LE FABBRIE",,"52022","LAGO DI S.CIPRIANO",,"055961097","055961097",,1,,
185,"BIODOLCEBIO","VIALE ANGELICO, 1/A","00192","ROMA",,"063724688","063724688",,1,,
187,"AGRANA STAERKE GMBH","Conrathstrasse, 7","3950","Gmuend",,"+43 2852503719202","+43 285250319202","ATU58198337",0,,
190,"LOXER S.A.R.L.","RUE DU TENAU","98000","MONACO",,"+37797778548","+37797778547",,0,,
191,"EUROGEL SRL","VIA LEONARDO DA VINCI, 10","20016","PERO (MI)",,"023390974","0238100444","06606230156",1,,
193,"TONIOLO CASEARIA S.P.A.","VIA MOLINETTO 47/49","31030","BORSO DEL GRAPPA (TV)",,"0423 910063","0423 910266","01217950268",1,,
194,"HENRI WILLING","VENUS 16-18","8448","HEERENVEEN",,"+31 0513484361","+31 0513484367",,0,,
195,"NUOVA FATTORIE GIRAU SRL","STRADA NUOVA DI COLORETO, 15/B","43100","PARMA",,"0521 240663","0521 240700",,1,,
197,"CASEIFICIO CENTRO FORM SRL","CONTRADA VANELLE","94010","AIDONE (EN)",,"0935 87834","0935 88113",,1,,
199,"AZIENDA ZOOTECNICA TOSA SNC","C.DA SAN GIOVANNI, 1","85030","S.PAOLO ALBANESE (PZ)",,"0973 94914","3471532487","00996710760",1,,
200,"CASEIFICIO ELDA SRL","VIA SIVIERI, 1","37030","VESTENANOVA (VR)",,"045 6564007","045 6564024","02722920283",1,,
202,"CASEIFICIO SOCIALE LA GINESTRA SRL","VIA S.MARGHERITA","43036","FIDENZA (PR)",,,"052463107",,1,,
203,"CASEIFICIO MAREMMA","VIA DEL COMMERCIO, 103","58022","FOLLONICA (GR)",,"0566 57222","0566 51349",,1,,
205,"THIESILAT SRL","REGIONE POSSILVA","07047","THIESI (SS)",,"079886260","079885031",,1,,
206,"R. BRUNELLI SPA","VIA DELLA STAZIONE DI PRIMA PORTA, 20","00118","ROMA",,"06 33613659","06 33610144",,1,,
209,"LATTERIA AMIATINA SRL","VIA DELLA FONTANA, 35","58031","STRIBUGLIANO (GR)",,"0564 962062","0564 962044",,1,,
212,"CASEIFICIO ANTICO CASALE SRL","SS 131 KM 41","09025","SANLURI (VS)",,"0709370648","0709370648",,1,,
214,"COOPERATIVA ALLEVATORI OVINI SOC.COOP. AGRICOLA","VIA S.SATTA, 3","09080","SIMANNA (OR)",,"0783 301511","0783 301831","00052920956",1,,
215,"INCAS SRL INDUSTRIA CASEARIA SARDA","PZA S. SEBASTIANO","07014","OZIERI",,"0079786635","0079787693",,1,,
217,"NUOVA SARDA INDUSTRIA CASEARIA SRL","LOCALITA SA CODINA, STRADA NATO SN","09097","S.NICOLO D'ARCIDANO (OR)",,"070 976513","070 976513","00637610957",1,,
219,"FORMAGGI PEROLARI","VIA DON A. ANDREOLETTI, 4","24060","VILLONGO (BG)",,"035 925752","035 926366",,1,,
220,"SALCIS SAS DI MORBIDI A & C",,,"MONTERIGGIONI (SIENA)",,,"0577306724",,1,,
224,"HIJOS DE SALVADOR RODRIGUEZ S.A.","CTRA. MOZAR, KM 1","49620","SANTA CRISTINA DE LA POLVOROSA (ZAMORA)",,"+34 980631992","+34 980631907",,0,,
221,"AMALTEA SRL","VIA GIACOMO PUCCINI","20010","CANEGRATE (MI)",,"0331 1839745","0331 421781","05767530966",1,,
229,"CASEIFICIO PIER LUIGI ROSSO SRL","VIA SERRALUNGA, 11",,"BIELLA (BI)",,"015 2563600","015 6108887","01667940025",1,,
231,"PASCUCCI TORREFAZIONE SPA","VIA CIRCONVALLAZIONE 16/A",,"MONTECERIGNONE (PU)",,"0541 978698","0541 978524",,1,,
233,"IL FORNAIO DEL CASALE SPA","VIA MICHELANGELO BUONARROTI, 31","31032","CASALE SUL SILE (TV)",,,,"02107660264",1,,
234,"MEC3- OPTIMA SRL","VIA GAGGIO, 72","47832","SAN CLEMENTE (RM)",,"0541 859412","0541 859411","01622060406",1,,
235,"N.F FOOD SRL","VIA BOSCO 99/A","420019","BOSCO DI SCANDIANO (RE)",,"0522 330259","0522 330259",,1,,
242,"FRATELLI TEDESCO & C. SNC","VIA CAMPIA, 37","84012","ANGRI (SA)",,"081 5132864","081 948551","03330410659",1,,
248,"DIPRAL SRL","VIALE DELL'INDUSTRIA, 2","72021","FRANCAVILLA FONTANA (BR)",,"0831 810852","0831 810857",,1,,
249,"GROUPE SILL",,,,,,,,0,,
251,"EUROFORMAGGI e C.SPA","VIA G.FERRARIS, 2","37067","VALEGGIO SUL MINCIO (VR)",,"045 6370264","045 6370255","IT02008790236",1,,
259,"BISCOTTIFICIO GRONDONA SPA","Via Campomorone, 48","16164","Genova (GE)",,"010 7856518","010 785901","02258670104",1,,
260,"PAN DUCALE","Viale Risorgimento, 1/bis","64032","Atri (TE)",,"085 879666","085 87774","01594850677",1,,
223,"AZIENDA AGRICOLA LE GALOSE DI ALIMBERTI FULVIA","STRADA FRANCESCA KM.13","24055","COLOGNO AL SERIO (BG)",,"035890655","035890655","01520410166",1,,
264,"IL VECCHIO FORNO ARTIGIANO SRL","Via Oltre Agno, 7","36070","Brogliano (VI)",,"0445 941218","0445 941588","01810890242",1,,
269,"DOLCE MANIERA SRL","Via Barletta, 27","00192","Roma",,"06 3701697","06 37517518",,1,,
271,"Industria Dolciaria VALENTINO s.r.l.","Zona industriale Pantaniello","86090","Pettoranello del Molise (IS)",,"0865 460299","0865 460294",,1,,
272,,,,,,,,,1,,
274,"AGRAL S.A.","1 Rue de Brabant Wallon","6180","Courcelles (BE)",,"0032 071 460142","0032 071 451461",,0,,
275,"LEBLOND SOCOBEUR","6, Rue de Paris- BP 40006","95380","Louvres",,"0134723130","0134687223",,0,,
280,"WIDRISS SA","27 Gorgopotamou, Nea Filothei Amarousiou","15123","ATHENS",,"+30210 68 29 821","+30210 68 29 824",,0,,
283,"TRENTINGRANA","Via Bregenz, 18","38100","Trento",,,,"00107950222",1,,
287,"RICCARDO LORENZI SRL","VIA L.EINAUDI , 298","35030","VO' (PADOVA)",,,,"00996410288",1,,
289,"TERRA-PURA-TIERNHARUNG E.K.","Queichheimer Hauptstrasse,87","D-76829","LANDAU",,,,"DE 190538147",0,,
292,"INTERFOOD BV","LANGE TREKKEN, 42","NL-553","PZ BLADEL",,,,"NL006776917B01",0,,
293,"BURRIFICIO LA GOCCIA BIANCA SRL","V.VILLANI, 3° TRAVERSA NR.16","80051","AGEROLA (NA)",,,,"01430421212",1,,
296,"INTERFOOD POLSKA SP.ZO.O","UL.MADALINSKIEGO 20 1/C",,,,,,,0,,
